time	a	b
64	14183	14431
0	14808	15059
44	14808	15059
111	15765	16016
40	15765	16016
105	16385	16636
38	16385	16636
94	17707	17956
34	17707	17956
102	18319	18567
41	18319	18567
0	19178	19429
47	19178	19429
50	19784	20033
35	19784	20033
77	20440	20691
65	20440	20691
88	293	542
78	293	542
175	892	1143
0	892	1143
74	1491	1739
111	1491	1739
100	2101	2353
86	2101	2353
4	2725	2974
60	2725	2974
70	3405	3654
99	3405	3654
139	4030	4279
14	4030	4279
126	4825	5073
0	4825	5073
51	5437	5686
22	5437	5686
0	6045	6295
135	6045	6295
32	6664	6913
92	6664	6913
113	7283	7539
40	7283	7539
76	7921	8169
89	7921	8169
52	8566	8818
88	8566	8818
137	9189	9439
29	9189	9439
10	9799	10049
124	9799	10049
148	10409	10658
32	10409	10658
76	11772	12021
27	11772	12021
18	12372	12622
50	12372	12622
40	12981	13230
90	12981	13230
57	13627	13877
109	13627	13877
0	14247	14495
148	14247	14495
78	14904	15155
84	14904	15155
76	15503	15620
0	15503	15620
0	15986	16235
0	15986	16235
41	16612	16863
53	16612	16863
62	17293	17408
0	17293	17408
0	17924	18173
4	17924	18173
134	18790	19039
15	18790	19039
51	19599	19849
54	19599	19849
97	301	550
91	301	550
132	909	1158
8	909	1158
194	1526	1775
5	1526	1775
179	2145	2395
10	2145	2395
97	2801	3051
54	2801	3051
72	3454	3704
38	3454	3704
73	4079	4327
27	4079	4327
152	4703	4952
26	4703	4952
28	5524	5774
120	5524	5774
68	6140	6324
42	6140	6324
51	6578	6830
90	6578	6830
87	7212	7463
56	7212	7463
85	7820	8072
36	7820	8072
0	8436	8684
80	8436	8684
18	9085	9340
86	9085	9340
32	9701	9949
59	9701	9949
26	10302	10581
114	10302	10581
48	10953	11204
84	10953	11204
57	11598	11849
44	11598	11849
144	12210	12460
8	12210	12460
44	12936	13192
83	12936	13192
28	13577	13827
122	13577	13827
8	14204	14455
25	14204	14455
60	14841	15091
83	14841	15091
38	15461	15712
89	15461	15712
0	16066	16317
128	16066	16317
77	16690	16941
55	16690	16941
67	17291	17541
79	17291	17541
30	17898	18148
48	17898	18148
0	18511	18761
122	18511	18761
108	622	871
63	622	871
85	1244	1493
96	1244	1493
101	1919	2169
105	1919	2169
139	2547	2796
56	2547	2796
109	3208	3457
62	3208	3457
116	3830	4136
51	3830	4136
158	4643	4915
36	4643	4915
68	5408	5786
124	5408	5786
34	6277	6654
153	6277	6654
39	7144	7339
80	7144	7339
142	7670	7925
64	7670	7925
104	8527	8776
56	8527	8776
95	9208	9584
75	9208	9584
142	10061	10437
41	10061	10437
140	10922	11300
42	10922	11300
146	11835	12211
56	11835	12211
119	12736	13077
46	12736	13077
92	13452	13701
108	13452	13701
84	14060	14309
95	14060	14309
102	14697	14952
86	14697	14952
31	15316	15565
160	15316	15565
90	15925	16175
101	15925	16175
41	16529	16779
160	16529	16779
113	17214	17463
34	17214	17463
131	17833	18083
29	17833	18083
126	18445	18694
46	18445	18694
170	19073	19323
20	19073	19323
115	19698	19948
39	19698	19948
247	20322	20571
0	20322	20571
52	20957	21207
128	20957	21207
50	325	575
82	325	575
153	992	1241
28	992	1241
29	1595	1846
85	1595	1846
42	2177	2432
62	2177	2432
68	2790	3040
22	2790	3040
10	3404	3653
87	3404	3653
77	4054	4304
4	4054	4304
83	4674	4923
14	4674	4923
8	5487	5736
49	5487	5736
13	6111	6360
22	6111	6360
44	6707	6956
5	6707	6956
10	7361	7611
54	7361	7611
33	7986	8236
22	7986	8236
54	8608	8858
11	8608	8858
8	9219	9469
0	9219	9469
6	10037	10287
0	10037	10287
32	10652	10902
8	10652	10902
34	11326	11576
0	11326	11576
24	11948	12204
3	11948	12204
4	12581	12831
7	12581	12831
0	13199	13448
0	13199	13448
10	13915	14164
10	13915	14164
3	14555	14804
2	14555	14804
5	15319	15435
0	15319	15435
2	15800	16050
0	15800	16050
0	16413	16663
0	16413	16663
3	17035	17151
0	17035	17151
0	17508	17758
0	17508	17758
0	18206	18455
0	18206	18455
40	19079	19328
0	19079	19328
91	306	555
78	306	555
117	925	1175
59	925	1175
155	1557	1812
44	1557	1812
48	2174	2423
104	2174	2423
61	2771	3021
106	2771	3021
37	3382	3632
112	3382	3632
