time	a	b
95	14183	14431
51	14808	15059
51	14808	15059
155	15765	16016
155	15765	16016
147	16385	16636
147	16385	16636
141	17707	17956
141	17707	17956
161	18319	18567
161	18319	18567
48	19178	19429
48	19178	19429
91	19784	20033
91	19784	20033
143	20440	20691
143	20440	20691
167	293	542
167	293	542
175	892	1143
175	892	1143
188	1491	1739
188	1491	1739
186	2101	2353
186	2101	2353
64	2725	2974
64	2725	2974
181	3405	3654
181	3405	3654
154	4030	4279
154	4030	4279
126	4825	5073
126	4825	5073
73	5437	5686
73	5437	5686
135	6045	6295
135	6045	6295
124	6664	6913
124	6664	6913
153	7283	7539
153	7283	7539
165	7921	8169
165	7921	8169
140	8566	8818
140	8566	8818
166	9189	9439
166	9189	9439
134	9799	10049
134	9799	10049
187	10409	10658
187	10409	10658
103	11772	12021
103	11772	12021
68	12372	12622
68	12372	12622
130	12981	13230
130	12981	13230
166	13627	13877
166	13627	13877
148	14247	14495
148	14247	14495
162	14904	15155
162	14904	15155
79	15503	15620
79	15503	15620
0	15986	16235
0	15986	16235
94	16612	16863
94	16612	16863
62	17293	17408
62	17293	17408
27	17924	18173
27	17924	18173
149	18790	19039
149	18790	19039
117	19599	19849
117	19599	19849
188	301	550
188	301	550
140	909	1158
140	909	1158
199	1526	1775
199	1526	1775
192	2145	2395
192	2145	2395
153	2801	3051
153	2801	3051
113	3454	3704
113	3454	3704
100	4079	4327
100	4079	4327
178	4703	4952
178	4703	4952
148	5524	5774
148	5524	5774
116	6140	6324
116	6140	6324
141	6578	6830
141	6578	6830
143	7212	7463
143	7212	7463
121	7820	8072
121	7820	8072
80	8436	8684
80	8436	8684
104	9085	9340
104	9085	9340
91	9701	9949
91	9701	9949
140	10302	10581
140	10302	10581
132	10953	11204
132	10953	11204
103	11598	11849
103	11598	11849
152	12210	12460
152	12210	12460
131	12936	13192
131	12936	13192
150	13577	13827
150	13577	13827
33	14204	14455
33	14204	14455
143	14841	15091
143	14841	15091
134	15461	15712
134	15461	15712
134	16066	16317
134	16066	16317
132	16690	16941
132	16690	16941
153	17291	17541
153	17291	17541
83	17898	18148
83	17898	18148
122	18511	18761
122	18511	18761
171	622	871
171	622	871
181	1244	1493
181	1244	1493
207	1919	2169
207	1919	2169
195	2547	2796
195	2547	2796
171	3208	3457
171	3208	3457
167	3830	4136
167	3830	4136
194	4643	4915
194	4643	4915
192	5408	5786
192	5408	5786
187	6277	6654
187	6277	6654
119	7144	7339
119	7144	7339
206	7670	7925
206	7670	7925
161	8527	8776
161	8527	8776
170	9208	9584
170	9208	9584
183	10061	10437
183	10061	10437
182	10922	11300
182	10922	11300
202	11835	12211
202	11835	12211
165	12736	13077
165	12736	13077
200	13452	13701
200	13452	13701
179	14060	14309
179	14060	14309
188	14697	14952
188	14697	14952
191	15316	15565
191	15316	15565
191	15925	16175
191	15925	16175
201	16529	16779
201	16529	16779
147	17214	17463
147	17214	17463
160	17833	18083
160	17833	18083
172	18445	18694
172	18445	18694
190	19073	19323
190	19073	19323
156	19698	19948
156	19698	19948
247	20322	20571
247	20322	20571
216	20957	21207
216	20957	21207
133	325	575
133	325	575
182	992	1241
182	992	1241
120	1595	1846
120	1595	1846
104	2177	2432
104	2177	2432
90	2790	3040
90	2790	3040
97	3404	3653
97	3404	3653
86	4054	4304
86	4054	4304
97	4674	4923
97	4674	4923
57	5487	5736
57	5487	5736
35	6111	6360
35	6111	6360
51	6707	6956
51	6707	6956
64	7361	7611
64	7361	7611
55	7986	8236
55	7986	8236
65	8608	8858
65	8608	8858
8	9219	9469
8	9219	9469
9	10037	10287
9	10037	10287
40	10652	10902
40	10652	10902
34	11326	11576
34	11326	11576
27	11948	12204
27	11948	12204
11	12581	12831
11	12581	12831
0	13199	13448
0	13199	13448
20	13915	14164
20	13915	14164
8	14555	14804
8	14555	14804
5	15319	15435
5	15319	15435
5	15800	16050
5	15800	16050
0	16413	16663
0	16413	16663
3	17035	17151
3	17035	17151
8	17508	17758
8	17508	17758
0	18206	18455
0	18206	18455
40	19079	19328
40	19079	19328
172	306	555
172	306	555
176	925	1175
176	925	1175
199	1557	1812
199	1557	1812
152	2174	2423
152	2174	2423
167	2771	3021
167	2771	3021
149	3382	3632
149	3382	3632
182	4004	4254
182	4004	4254
174	4625	4874
174	4625	4874
165	5255	5505
165	5255	5505
157	5885	6069
157	5885	6069
185	6376	6626
185	6376	6626
158	7229	7479
158	7229	7479
217	7845	8095
217	7845	8095
192	8418	8676
192	8418	8676
140	9009	9266
140	9009	9266
179	9624	9875
179	9624	9875
183	10251	10501
183	10251	10501
200	10888	11137
200	10888	11137
214	11493	11743
214	11493	11743
184	12112	12362
184	12112	12362
192	12779	13028
192	12779	13028
214	13639	13924
214	13639	13924
200	14304	14554
200	14304	14554
193	14943	15193
193	14943	15193
135	15567	15823
135	15567	15823
155	16191	16440
155	16191	16440
157	16810	17059
157	16810	17059
200	17496	17746
200	17496	17746
204	18185	18434
204	18185	18434
145	18866	19116
145	18866	19116
203	437	687
203	437	687
231	1071	1321
231	1071	1321
195	1723	1973
195	1723	1973
243	2332	2583
243	2332	2583
232	2970	3220
232	2970	3220
217	3597	3845
217	3597	3845
220	4261	4510
220	4261	4510
212	4880	5128
212	4880	5128
216	5498	5765
216	5498	5765
228	6181	6429
228	6181	6429
197	6788	7038
197	6788	7038
240	7465	7714
240	7465	7714
226	8106	8356
226	8106	8356
155	8722	8970
155	8722	8970
234	9345	9595
234	9345	9595
233	9957	10208
233	9957	10208
239	10585	10836
239	10585	10836
235	11245	11493
235	11245	11493
222	11898	12148
222	11898	12148
229	12527	12777
229	12527	12777
228	13174	13422
228	13174	13422
226	13819	14068
226	13819	14068
232	14483	14731
232	14483	14731
200	15121	15372
200	15121	15372
235	15750	15999
235	15750	15999
239	16358	16608
239	16358	16608
224	16983	17231
