time	a	b
158	14188	14440
133	14993	15244
31	14993	15244
7	15734	15983
31	15734	15983
123	16498	16748
54	16498	16748
47	17187	17439
31	17187	17439
18	17837	18089
70	17837	18089
109	18503	18752
1	18503	18752
0	19163	19413
20	19163	19413
34	19829	20078
8	19829	20078
199	331	581
38	331	581
244	1026	1277
1	1026	1277
247	1654	1904
0	1654	1904
121	2294	2545
124	2294	2545
229	2962	3213
19	2962	3213
157	3615	3866
63	3615	3866
93	4256	4507
111	4256	4507
178	4915	5163
37	4915	5163
183	5560	5808
21	5560	5808
79	6199	6450
126	6199	6450
148	6859	7109
70	6859	7109
134	7516	7766
90	7516	7766
71	8166	8416
36	8166	8416
144	8833	9084
54	8833	9084
0	9525	9809
0	9525	9809
50	10209	10460
5	10209	10460
130	10867	11117
104	10867	11117
6	11520	11771
45	11520	11771
0	12230	12481
114	12230	12481
0	12883	13134
137	12883	13134
114	14094	14345
58	14094	14345
167	14742	14993
1	14742	14993
150	15406	15656
0	15406	15656
130	16253	16502
0	16253	16502
78	16892	17143
3	16892	17143
112	17574	17824
0	17574	17824
151	18214	18465
5	18214	18465
102	18856	19052
61	18856	19052
128	19449	19698
8	19449	19698
222	20194	20444
0	20194	20444
149	384	635
0	384	635
210	1020	1270
38	1020	1270
164	1680	1933
15	1680	1933
65	2329	2580
150	2329	2580
231	2976	3227
19	2976	3227
227	3872	4123
0	3872	4123
137	4686	4937
97	4686	4937
181	5332	5580
65	5332	5580
138	5982	6231
97	5982	6231
195	6619	6868
0	6619	6868
60	7341	7591
124	7341	7591
240	8011	8260
7	8011	8260
139	8652	8901
109	8652	8901
207	9290	9538
25	9290	9538
18	9926	10041
96	9926	10041
78	10428	10676
99	10428	10676
108	11075	11327
63	11075	11327
91	11707	11959
158	11707	11959
57	12362	12611
108	12362	12611
157	13218	13467
74	13218	13467
108	13915	14166
45	13915	14166
174	14607	14856
0	14607	14856
20	15272	15522
48	15272	15522
146	15914	16163
37	15914	16163
129	16559	16808
96	16559	16808
184	17198	17450
28	17198	17450
33	17835	18086
56	17835	18086
43	18490	18740
93	18490	18740
57	19134	19383
68	19134	19383
80	19781	20032
26	19781	20032
96	410	661
87	410	661
118	1111	1362
55	1111	1362
191	1788	2039
43	1788	2039
150	2440	2690
69	2440	2690
109	3136	3386
120	3136	3386
41	3791	4042
90	3791	4042
238	4436	4686
1	4436	4686
207	5126	5377
13	5126	5377
169	5757	6005
48	5757	6005
134	6403	6653
0	6403	6653
72	7067	7318
141	7067	7318
67	7790	8042
17	7790	8042
0	8433	8682
0	8433	8682
0	9092	9341
0	9092	9341
104	9731	9980
110	9731	9980
121	10415	10666
103	10415	10666
185	11068	11319
53	11068	11319
164	11718	11968
59	11718	11968
126	12364	12615
57	12364	12615
0	13015	13265
0	13015	13265
103	13678	13927
56	13678	13927
137	14393	14643
23	14393	14643
0	15177	15362
0	15177	15362
0	15895	16146
0	15895	16146
119	16541	16791
21	16541	16791
0	17241	17525
0	17241	17525
61	17936	18187
13	17936	18187
0	18597	18846
0	18597	18846
118	19259	19510
87	19259	19510
141	19914	20164
5	19914	20164
219	322	572
30	322	572
69	965	1216
181	965	1216
249	1626	1877
0	1626	1877
202	2256	2507
35	2256	2507
244	2902	3153
0	2902	3153
250	3529	3780
0	3529	3780
227	4160	4410
21	4160	4410
197	4802	5052
51	4802	5052
55	5445	5640
49	5445	5640
72	6008	6259
170	6008	6259
218	6655	6905
19	6655	6905
248	7423	7673
0	7423	7673
228	8056	8307
22	8056	8307
191	8719	8969
32	8719	8969
187	9577	9827
46	9577	9827
192	10222	10472
0	10222	10472
0	10856	11107
0	10856	11107
51	11487	11737
93	11487	11737
171	12180	12431
70	12180	12431
167	12822	13072
80	12822	13072
66	13466	13716
172	13466	13716
43	14101	14352
72	14101	14352
108	14798	15046
124	14798	15046
0	15429	15679
224	15429	15679
250	16062	16313
0	16062	16313
171	16698	16948
61	16698	16948
110	17357	17607
139	17357	17607
203	18001	18252
46	18001	18252
217	18628	18890
44	18628	18890
248	19257	19506
0	19257	19506
63	284	534
186	284	534
94	893	1144
154	893	1144
250	1529	1780
0	1529	1780
249	2157	2408
0	2157	2408
108	2770	3021
142	2770	3021
224	3393	3644
26	3393	3644
250	4007	4258
0	4007	4258
250	4634	4885
0	4634	4885
0	5277	5525
0	5277	5525
250	5937	6188
0	5937	6188
206	6574	6825
44	6574	6825
164	7234	7484
52	7234	7484
156	7883	8133
93	7883	8133
242	8501	8751
6	8501	8751
125	9188	9439
125	9188	9439
21	9824	10075
229	9824	10075
148	10503	10751
99	10503	10751
152	11131	11381
50	11131	11381
137	11777	12028
94	11777	12028
197	12415	12665
0	12415	12665
250	13070	13321
0	13070	13321
13	14024	14139
15	14024	14139
91	14749	14998
2	14749	14998
159	15523	15772
80	15523	15772
248	16228	16480
0	16228	16480
66	16857	17108
170	16857	17108
128	17484	17735
122	17484	17735
249	18142	18392
0	18142	18392
132	18790	19040
116	18790	19040
119	19423	19674
44	19423	19674
32	408	659
37	408	659
54	1076	1326
27	1076	1326
49	1736	1986
