time	a	b
160	14188	14440
164	14993	15244
164	14993	15244
39	15734	15983
39	15734	15983
178	16498	16748
178	16498	16748
82	17187	17439
82	17187	17439
88	17837	18089
88	17837	18089
113	18503	18752
113	18503	18752
20	19163	19413
20	19163	19413
42	19829	20078
42	19829	20078
237	331	581
237	331	581
245	1026	1277
245	1026	1277
247	1654	1904
247	1654	1904
245	2294	2545
245	2294	2545
248	2962	3213
248	2962	3213
220	3615	3866
220	3615	3866
204	4256	4507
204	4256	4507
217	4915	5163
217	4915	5163
213	5560	5808
213	5560	5808
205	6199	6450
205	6199	6450
218	6859	7109
218	6859	7109
224	7516	7766
224	7516	7766
107	8166	8416
107	8166	8416
199	8833	9084
199	8833	9084
0	9525	9809
0	9525	9809
55	10209	10460
55	10209	10460
234	10867	11117
234	10867	11117
51	11520	11771
51	11520	11771
114	12230	12481
114	12230	12481
137	12883	13134
137	12883	13134
172	14094	14345
172	14094	14345
176	14742	14993
176	14742	14993
150	15406	15656
150	15406	15656
130	16253	16502
130	16253	16502
81	16892	17143
81	16892	17143
113	17574	17824
113	17574	17824
156	18214	18465
156	18214	18465
164	18856	19052
164	18856	19052
136	19449	19698
136	19449	19698
222	20194	20444
222	20194	20444
149	384	635
149	384	635
248	1020	1270
248	1020	1270
179	1680	1933
179	1680	1933
216	2329	2580
216	2329	2580
250	2976	3227
250	2976	3227
227	3872	4123
227	3872	4123
236	4686	4937
236	4686	4937
247	5332	5580
247	5332	5580
235	5982	6231
235	5982	6231
195	6619	6868
195	6619	6868
202	7341	7591
202	7341	7591
248	8011	8260
248	8011	8260
248	8652	8901
248	8652	8901
234	9290	9538
234	9290	9538
114	9926	10041
114	9926	10041
180	10428	10676
180	10428	10676
171	11075	11327
171	11075	11327
249	11707	11959
249	11707	11959
165	12362	12611
165	12362	12611
231	13218	13467
231	13218	13467
154	13915	14166
154	13915	14166
174	14607	14856
174	14607	14856
69	15272	15522
69	15272	15522
183	15914	16163
183	15914	16163
225	16559	16808
225	16559	16808
212	17198	17450
212	17198	17450
89	17835	18086
89	17835	18086
136	18490	18740
136	18490	18740
125	19134	19383
125	19134	19383
108	19781	20032
108	19781	20032
183	410	661
183	410	661
180	1111	1362
180	1111	1362
234	1788	2039
234	1788	2039
219	2440	2690
219	2440	2690
232	3136	3386
232	3136	3386
131	3791	4042
131	3791	4042
241	4436	4686
241	4436	4686
220	5126	5377
220	5126	5377
217	5757	6005
217	5757	6005
134	6403	6653
134	6403	6653
213	7067	7318
213	7067	7318
84	7790	8042
84	7790	8042
0	8433	8682
0	8433	8682
0	9092	9341
0	9092	9341
214	9731	9980
214	9731	9980
224	10415	10666
224	10415	10666
238	11068	11319
238	11068	11319
223	11718	11968
223	11718	11968
183	12364	12615
183	12364	12615
0	13015	13265
0	13015	13265
159	13678	13927
159	13678	13927
164	14393	14643
164	14393	14643
0	15177	15362
0	15177	15362
0	15895	16146
0	15895	16146
140	16541	16791
140	16541	16791
0	17241	17525
0	17241	17525
74	17936	18187
74	17936	18187
6	18597	18846
6	18597	18846
205	19259	19510
205	19259	19510
146	19914	20164
146	19914	20164
249	322	572
249	322	572
250	965	1216
250	965	1216
249	1626	1877
249	1626	1877
237	2256	2507
237	2256	2507
249	2902	3153
249	2902	3153
250	3529	3780
250	3529	3780
248	4160	4410
248	4160	4410
